Playlist ID,URI,Album,Song Name,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time Signature
1.0,0Om9WAB5RS09L80DyOfTNa,Taylor Swift,Tim McGraw,0.58,0.491,0.0,-6.462,1.0,0.0251,0.575,0.0,0.121,0.425,76.009,232107.0,4.0
2.0,32mVHdy0bi1XKgr0ajsBlG,Taylor Swift,Picture To Burn,0.658,0.877,7.0,-2.098,1.0,0.0323,0.173,0.0,0.0962,0.821,105.586,173067.0,4.0
3.0,7zMcNqs55Mxer82bvZFkpg,Taylor Swift,Teardrops On My Guitar - Radio Single Remix,0.621,0.417,10.0,-6.941,1.0,0.0231,0.288,0.0,0.119,0.289,99.953,203040.0,4.0
4.0,73OX8GdpOeGzKC6OvGSbsv,Taylor Swift,A Place in this World,0.576,0.777,9.0,-2.881,1.0,0.0324,0.051,0.0,0.32,0.428,115.028,199200.0,4.0
5.0,7an1exwMnfYRcdVQm0yDev,Taylor Swift,Cold As You,0.418,0.482,5.0,-5.769,1.0,0.0266,0.217,0.0,0.123,0.261,175.558,239013.0,4.0
6.0,2QA3IixpRcKyOdG7XDzRgv,Taylor Swift,The Outside,0.589,0.805,5.0,-4.055,1.0,0.0293,0.00491,0.0,0.24,0.591,112.982,207107.0,4.0
7.0,6K0CJLVXqbGMeJSmJ4ENKK,Taylor Swift,Tied Together with a Smile,0.479,0.578,2.0,-4.963,1.0,0.0294,0.525,0.0,0.0841,0.192,146.165,248107.0,4.0
8.0,2ZoOmCSgj0ypVAmGd1ve4y,Taylor Swift,Stay Beautiful,0.594,0.629,8.0,-4.919,1.0,0.0246,0.0868,0.0,0.137,0.504,131.597,236053.0,4.0
9.0,16MVSD0mGI4RMQT83Qzm69,Taylor Swift,Should've Said No,0.476,0.777,4.0,-3.771,0.0,0.0289,0.0103,0.0,0.196,0.472,167.964,242200.0,4.0
10.0,2QrQCMel6v2JiLxqrg4p2O,Taylor Swift,Mary's Song (Oh My My My),0.403,0.627,2.0,-5.28,1.0,0.0292,0.0177,0.0,0.182,0.374,74.9,213080.0,4.0
11.0,15DeqWWQB4dcEWzJg15VrN,Taylor Swift,Our Song,0.668,0.672,2.0,-4.931,1.0,0.0303,0.111,0.0,0.329,0.539,89.011,201107.0,4.0
12.0,0JIdBrXGSJXS72zjF9ss9u,Taylor Swift,I'm Only Me When I'm With You,0.563,0.934,8.0,-3.629,1.0,0.0646,0.00452,0.000807,0.103,0.518,143.964,213053.0,4.0
